investorId,emailId,investedAmount,updatedAmount
1, user1@app.com , 8098.50 , 22221
2, user2@app.com, 100034201 , 22221
3, user3@app.com, 34343214 , 90
4, user4@app.com, 12221 , 5001
5, user5@app.com, 3023120 , 1000.12
5, user6@app.com , 10112234 , 22221
1, user7@app.com , 8098.50 , 22221
2, user8@app.com, 10003420 , 22221
3, user9@app.com, 3434324 , 90
4, user10@app.com, 1222 , 5001
5, user11@app.com, 302320 , 1000.12
5, user12@app.com , 1012234 , 22221
1, user11@app.com , 8098.50 , 22221
2, user21@app.com, 100034201 , 22221
3, user31@app.com, 34343214 , 90
4, user41@app.com, 12221 , 5001
5, user51@app.com, 3023120 , 1000.12
5, user61@app.com , 10112234 , 22221
1, user71@app.com , 8098.50 , 22221
2, user81@app.com, 10003420 , 22221
3, user91@app.com, 3434324 , 90
3, user100@app.com, 3434324 , 90
3, user101@app.com, 3434324 , 90
